Place (as appears on Bio);Keyword Repetitions;Latitude;Longitude;Time
London, England;11355;51.50518452;-0.15012839;1
Dublin City, Ireland;3597;53.33699524;-6.27968561;1
Manchester, England;3365;53.4807593;-2.2426305;1
South East, England;3137;51.61722222;-0.6011111099999999;1
Camberwell, London;2921;51.50744699;-0.09432793;1
Camden Town, London;2918;51.51523763;-0.12715407;1
East, England;2858;51.86805556;0.73111111;1
Scotland, United Kingdom;2463;59.2425;-2.58777778;1
North West, England;2073;53.8133846;-2.5348065;1
Liverpool, England;2045;53.40517578;-2.97922927;1
Birmingham, England;2043;52.4489382;-1.9333357;1
South West, England;2039;51.442098;-2.102834;1
Glasgow, Scotland;2003;55.85770404;-4.24328615;1
Lambeth, London;1935;51.4309209;-0.0936496;1
Hackney, London;1916;51.52622407;-0.08795193;1
Middleton, England;1877;54.0633;-2.88424;1
Kensington, London;1836;51.5090411;-0.1901788;1
East Midlands, England;1831;53.08306926;0.14451541;1
Leeds, England;1779;53.795826;-1.5420951;1
Poplar, London;1719;51.52108499;-0.07238491;1
Paddington, London;1640;51.52793559;-0.19983703;1
West Midlands, England;1577;52.3555177;-1.1743197;1
Bristol, England;1566;51.45;-2.58333;1
Edinburgh, Scotland;1510;55.97502291;-3.16669106;1
Wales, United Kingdom;1492;53.16666667;-3.05;1
Islington, London;1407;51.54267265;-0.11339668;1
Brighton, England;1382;50.82312245;-0.13742298;1
Sheffield, England;1371;53.38107575;-1.46976471;1
Hammersmith, London;1286;51.50536413;-0.22326218;1
Yorkshire and The Humber, England;1246;53.48765665;-1.35704116;1
City of London, London;1239;51.51365977;-0.08815014;1
Derby, England;1124;52.91767339;-1.46509096;1
Cardiff, Wales;1118;51.48647678;-3.18319784;1
Hillingdon, London;1080;51.46971536;-0.45988083;1
Wandsworth, London;1018;51.43825517;-0.16509841;1
Saint Albans, East;1015;51.7612142;-0.3281723;1
Belfast, Northern Ireland;1010;54.59620386;-5.92512304;1
Huddersfield, England;985;53.64833333;-1.82166667;1
Greenwich, London;945;51.47914647;-0.00244973;1
Newcastle Upon Tyne, England;899;54.9881;-1.61944;1
Woking, South East;867;51.33222222;-0.55777778;1
Cork, Ireland;815;51.885205;-8.53440833;1
Galway, Ireland;788;53.59638889;-9.974166670000001;1
York, England;788;53.9583;-1.0803;1
Leicester, England;774;52.6545818;-1.137065;1
Nottingham, England;770;52.9718502;-1.1728985;1
Hepworth, England;756;52.33555556;0.91444444;1
Southampton, England;733;50.9061;-1.45638;1
Oxford, England;718;51.74830071;-1.27232205;1
Bournemouth, England;703;50.74496094;-1.82520318;1
Cambridge, England;693;52.23535619;0.1339817;1
Broadstairs, England;676;51.37083333;1.42333333;1
North East, England;672;55.03313129;-1.4712042;1
Southend-on-Sea, East;648;51.54439656;0.69072733;1
Salford, England;632;53.47378058;-2.29729886;1
Norwich, England;622;52.62151671;1.24164499;1
Tottenham, London;618;51.60273863;-0.06731371999999999;1
Hounslow, London;592;51.48710197;-0.25101185;1
Brent, London;576;51.54127771;-0.22907282;1
Crewe, England;556;53.07409405;-2.48998953;1
Coventry, England;550;52.417;-1.442;1
Solihull, England;539;52.4134799;-1.77619539;1
Fingal, Ireland;521;53.42662962;-6.24182224;1
Richmond, London;517;51.45144109;-0.32589525;1
Hurstpierpoint, England;505;50.93638889;-0.17972222;1
Portsmouth, England;502;50.79356642;-1.09813444;1
Dun Laoghaire-Rathdown, Ireland;483;53.2869824;-6.1151621;1
Lewisham, London;477;51.44948336;-0.04431251;1
Reading, England;475;51.4542645;-0.9781303;1
Bath, England;472;51.38;-2.36;1
Bures, England;455;51.97222222;0.78055556;1
Stoke-on-Trent, England;451;53.02149909;-2.16573068;1
Waterford, Ireland;444;52.2593197;-7.1100703;1
Mayo, Ireland;442;53.79;-8.71555556;1
Swansea, Wales;438;51.62185199;-3.9384457;1
Bromley, London;434;51.37944444;0.09944444;1
Barnet, London;417;51.6275813;-0.1855485;1
Urmston, England;400;53.46318342;-2.29128436;1
Kilkenny, Ireland;399;52.73333333;-7.18333333;1
Stratford, London;387;51.531752;0.03881361;1
Plymouth, England;379;50.38955301;-4.12883945;1
Ryde, England;378;50.72000277;-1.16877611;1
Walthamstow, London;377;51.5854879;-0.0018954;1
Hull, England;374;53.7329362;-0.3629608;1
Aberdeen, Scotland;374;57.15212967;-2.09026857;1
Chelmsford, East;372;51.7355868;0.4685497;1
Clacton-on-Sea, England;368;51.81361111;1.16888889;1
South Dublin, Ireland;364;53.3453021;-6.4357882;1
Merton, London;362;51.43742395;-0.20392814;1
Hereford, England;353;52.06135345;-2.70685047;1
Folkestone, England;353;51.08833333;1.135;1
Northern Ireland, United Kingdom;351;54.64718582;-5.82657073;1
Worcester, England;341;52.19406062;-2.22399702;1
Limerick, Ireland;339;52.67403508;-8.642480340000001;1
Whitley Bay, England;339;55.0425;-1.48888889;1
Milton Keynes, England;331;52.0416327;-0.7073;1
Staines-upon-Thames, South East;327;51.4191935;-0.4191503;1
Wicklow, Ireland;321;53.201429;-6.100073;1
Deal, England;318;51.21777778;1.40388889;1
Dundee, Scotland;316;56.4647073;-3.03984404;1
